Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2021,3,224,DX,3481,202012,DO,Bus,23
2016,8,802,DX,147638,201606,DO,Rail,23
2023,8,577,DX,852,202306,PT,Bus,23
2010,3,260,DX,12971,200912,DO,Bus,23
2016,8,96,DX,1457,201606,PT,Bus,23
2009,7,802,DX,162719.961,200906,DO,Rail,23
2019,10,762,DX,4202,201906,DO,Bus,23
2014,10,164,DX,7526,201406,DO,Bus,23
2011,3,169,DX,2578,201012,DO,Bus,23
2017,8,206,DX,11901,201706,DO,Bus,23
2016,3,901,DX,26516,201601,DO,Bus,23
2016,3,183,DX,2154,201601,DO,Bus,23
2012,10,780,DX,11425,201206,DO,Bus,23
2011,8,803,DX,43373.355,201106,DO,Rail,23
2022,8,164,DX,4281,202206,DO,Bus,23
2010,3,70,DX,12305,200912,DO,Bus,23
2009,7,266,DX,3730.95652173913,200906,PT,Bus,23
2013,10,81,DX,18799,201306,DO,Bus,23
2014,10,210,DX,15885,201406,DO,Bus,23
2010,3,236,DX,2563,200912,DO,Bus,23
2019,10,94,DX,4423,201906,DO,Bus,23
2015,7,128,DX,1279,201506,PT,Bus,23
2017,8,685,DX,492,201706,DO,Bus,23
2009,7,234,DX,5830,200906,DO,Bus,23
2011,3,183,DX,2379,201012,DO,Bus,23
2018,8,611,DX,1563,201806,DO,Bus,23
2013,10,66,DX,17478,201306,DO,Bus,23
2023,3,33,DX,14480,202212,DO,Bus,23
2020,7,236,DX,481,202006,DO,Bus,23
2009,7,256,DX,1497.17391304348,200906,PT,Bus,23
2014,10,620,DX,244,201406,DO,Bus,23
2014,10,741,DX,3555,201406,DO,Bus,23
2016,3,603,DX,7843,201601,PT,Bus,23
2009,7,218,DX,971.521739130435,200906,PT,Bus,23
2018,10,33,DX,10395,201806,DO,Bus,23
2017,8,211,DX,578,201706,DO,Bus,23
2016,3,487,DX,3648,201601,DO,Bus,23
2013,10,485,DX,1742,201306,DO,Bus,23
2020,7,2,DX,4917,202006,DO,Bus,23
2017,3,252,DX,2295,201612,DO,Bus,23
2012,10,265,DX,1955,201206,DO,Bus,23
2019,10,802,DX,131696,201906,DO,Rail,23
2023,3,96,DX,573,202212,PT,Bus,23
2022,8,179,DX,666,202206,DO,Bus,23
2015,7,117,DX,8926,201506,DO,Bus,23
2023,8,166,DX,5365,202306,DO,Bus,23
2017,3,751,DX,4823,201612,DO,Bus,23
2011,3,534,DX,2848,201012,DO,Bus,23
2011,3,201,DX,1123,201012,DO,Bus,23
2012,10,233,DX,15619,201206,DO,Bus,23
2016,3,68,DX,6033,201601,DO,Bus,23
2012,8,761,DX,12101,201206,DO,Bus,23
